	feats	meansurp	c1	c2	p1	p2	rank
0	N;PL;GEN	5.03041486679933	Number	Case	1.0	4.0	3.0
1	N;SG;ACC	11.360298445930338	Number	Case	1.0	4.0	3.0
2	N;NDEF;INFM	4.033327052981749		Polite			
3	N;GEN;PSSD	1.2801009171484368	Case	Definite	4.0	2.0	2.0
4	N;PL;ACC	9.75053356898581	Number	Case	1.0	4.0	3.0
5	N;NDEF;ACC	9.888346267299744		Case		4.0	
6	N;NOM;PSSD	2.8202965258389927	Case	Definite	4.0	2.0	2.0
7	N;GEN;SG	6.437167067626983	Case	Number	4.0	1.0	3.0
8	N;PL;INFM	4.282723440798923	Number	Polite	1.0		
9	N;DU;NOM	27.73002575978858	Number	Case	1.0	4.0	3.0
10	N;NOM;NDEF	14.60093448990306	Case		4.0		
11	N;INFM;PL	5.998350952441115	Polite	Number		1.0	
12	N;PSSD;ACC	1.2102893376251538	Definite	Case	2.0	4.0	2.0
13	N;INFM;NDEF	3.7408024353842713	Polite				
14	N;DU;DEF	26.24910790830097	Number	Definite	1.0	2.0	1.0
15	N;GEN;PL	3.4193653334012497	Case	Number	4.0	1.0	3.0
16	N;SG;DEF	25.367663966433398	Number	Definite	1.0	2.0	1.0
17	N;PSSD;DU	1.864045221622967	Definite	Number	2.0	1.0	1.0
18	N;DU;NDEF	7.189376509114942	Number		1.0		
19	N;PSSD;NOM	1.797388693874319	Definite	Case	2.0	4.0	2.0
20	N;GEN;DU	6.172897965746709	Case	Number	4.0	1.0	3.0
21	N;NDEF;NOM	13.324107881421506		Case		4.0	
22	N;NDEF;PL	10.55525925397152		Number		1.0	
23	N;NOM;SG	3.542642051219891	Case	Number	4.0	1.0	3.0
24	N;ACC;SG	11.193886625986904	Case	Number	4.0	1.0	3.0
25	N;SG;PSSD	2.277811611824076	Number	Definite	1.0	2.0	1.0
26	N;DEF;ACC	18.410563780931767	Definite	Case	2.0	4.0	2.0
27	N;INFM;PSSD	2.6534780668835984	Polite	Definite		2.0	
28	N;DEF;INFM	2.4248335135629127	Definite	Polite	2.0		
29	N;ACC;PSSD	1.907652086780756	Case	Definite	4.0	2.0	2.0
30	N;DU;PSSD	1.7240130829372748	Number	Definite	1.0	2.0	1.0
31	N;NOM;DU	22.158016301852875	Case	Number	4.0	1.0	3.0
32	N;DEF;SG	13.11179455674421	Definite	Number	2.0	1.0	1.0
33	N;ACC;PL	10.04374750079117	Case	Number	4.0	1.0	3.0
34	N;NDEF;GEN	19.51479829292087		Case		4.0	
35	N;PL;PSSD	6.528496270815886	Number	Definite	1.0	2.0	1.0
36	N;SG;INFM	2.2648441988126806	Number	Polite	1.0		
37	N;ACC;DU	1.6139378845356	Case	Number	4.0	1.0	3.0
38	N;DEF;GEN	2.2701771675447144	Definite	Case	2.0	4.0	2.0
39	N;ACC;NDEF	8.214513147548926	Case		4.0		
40	N;SG;GEN	6.389474252705499	Number	Case	1.0	4.0	3.0
41	N;PSSD;PL	4.757041610444307	Definite	Number	2.0	1.0	1.0
42	N;SG;NOM	4.877420127728061	Number	Case	1.0	4.0	3.0
43	N;INFM;DU	11.564769725249684	Polite	Number		1.0	
44	N;DEF;DU	29.560457837419143	Definite	Number	2.0	1.0	1.0
45	N;NDEF;SG	11.60929072392555		Number		1.0	
46	N;GEN;DEF	1.9851930508050049	Case	Definite	4.0	2.0	2.0
47	N;NDEF;DU	11.02263829096755		Number		1.0	
48	N;ACC;DEF	18.47929766026601	Case	Definite	4.0	2.0	2.0
49	N;DU;ACC	1.4944206519456835	Number	Case	1.0	4.0	3.0
50	N;INFM;DEF	2.0006131914421097	Polite	Definite		2.0	
51	N;SG;NDEF	9.32620708926219	Number		1.0		
52	N;GEN;NDEF	12.132857713689926	Case		4.0		
53	N;PSSD;INFM	1.7568016711530845	Definite	Polite	2.0		
54	N;PSSD;GEN	1.4910763206471964	Definite	Case	2.0	4.0	2.0
55	N;DU;INFM	5.581415897118953	Number	Polite	1.0		
56	N;DU;GEN	4.367681834893899	Number	Case	1.0	4.0	3.0
57	N;PL;NDEF	8.51571457460401	Number		1.0		
58	N;PSSD;SG	2.2765223626859825	Definite	Number	2.0	1.0	1.0
59	N;INFM;SG	2.6036822204981704	Polite	Number		1.0	
