	feats	meansurp	c1	c2	p1	p2	rank
0	V;2;IPFV	1.527195326623892	Person	Aspect	6.0	3.0	3.0
1	V;FEM;PL	14.812414746240448	Gender	Number	4.0	5.0	1.0
2	V;ACT;PL	4.250503987850195	Voice	Number	0.0	5.0	5.0
3	V;1;PST	18.824105264476803	Person	Tense	6.0		
4	V;2;SG	6.670811166809457	Person	Number	6.0	5.0	1.0
5	V;IPFV;MASC	8.578743854971464	Aspect	Gender	3.0	4.0	1.0
6	V;PL;PASS	2.964789640840735	Number	Voice	5.0	0.0	5.0
7	V;3;SG	4.641391401217266	Person	Number	6.0	5.0	1.0
8	V;ACT;V.PTCP	29.455068138848908	Voice	VerbForm	0.0	1.0	1.0
9	V;3;DU	8.816632502845337	Person	Number	6.0	5.0	1.0
10	V;IND;SG	4.837079111352356	Mood	Number	2.0	5.0	3.0
11	V;PRF;DU	9.494057163813144		Number		5.0	
12	V;1;PASS	10.56224456028113	Person	Voice	6.0	0.0	6.0
13	V;IPFV;3	1.7248755840528094	Aspect	Person	3.0	6.0	3.0
14	V;MASC;SBJV	0.954871978723272	Gender	Mood	4.0	2.0	2.0
15	V;2;MASC	9.066275300020182	Person	Gender	6.0	4.0	2.0
16	V;IPFV;SG	4.464066562996375	Aspect	Number	3.0	5.0	2.0
17	V;1;PL	54.69306443932747	Person	Number	6.0	5.0	1.0
18	V;PST;SG	7.3414060824238945	Tense	Number		5.0	
19	V;PASS;PST	34.20173513981016	Voice	Tense	0.0		
20	V;IMP;DU	3.1408597079104177	Mood	Number	2.0	5.0	3.0
21	V;MASC;PST	5.880280677948856	Gender	Tense	4.0		
22	V;ACT;IND	17.31859193933784	Voice	Mood	0.0	2.0	2.0
23	V;PL;SBJV	0.6467059151544836	Number	Mood	5.0	2.0	3.0
24	V;PRF;3	15.543486841418396		Person		6.0	
25	V;SG;SBJV	1.80456744187328	Number	Mood	5.0	2.0	3.0
26	V;3;IND	7.287492994026401	Person	Mood	6.0	2.0	4.0
27	V;DU;PRF	14.235359259489057	Number		5.0		
28	V;3;FEM	6.939108279698467	Person	Gender	6.0	4.0	2.0
29	V;1;SBJV	3.242538214672981	Person	Mood	6.0	2.0	4.0
30	V;MASC;DU	21.636591048745277	Gender	Number	4.0	5.0	1.0
31	V;3;PRF	12.447060451264038	Person		6.0		
32	V;FEM;PST	15.7534531181559	Gender	Tense	4.0		
33	V;MASC;PASS	1.498019525732829	Gender	Voice	4.0	0.0	4.0
34	V;DU;3	9.297519688460302	Number	Person	5.0	6.0	1.0
35	V;FEM;2	14.393647303119437	Gender	Person	4.0	6.0	2.0
36	V;IPFV;PASS	1.715227838163442	Aspect	Voice	3.0	0.0	3.0
37	V;MASC;PL	30.34171154299236	Gender	Number	4.0	5.0	1.0
38	V;MASC;SG	2.5300749707159005	Gender	Number	4.0	5.0	1.0
39	V;SG;IPFV	4.198060656200688	Number	Aspect	5.0	3.0	2.0
40	V;PASS;PRF	31.74535201384088	Voice		0.0		
41	V;DU;IMP	1.9238964009828108	Number	Mood	5.0	2.0	3.0
42	V;IND;2	14.3720197201945	Mood	Person	2.0	6.0	4.0
43	V;DU;PST	20.271017454237743	Number	Tense	5.0		
44	V;ACT;PST	33.46777974576263	Voice	Tense	0.0		
45	V;ACT;3	3.0185689184237234	Voice	Person	0.0	6.0	6.0
46	V;MASC;PRF	6.15016542637496	Gender		4.0		
47	V;PL;2	12.8443591035949	Number	Person	5.0	6.0	1.0
48	V;IND;FEM	7.147809634741613	Mood	Gender	2.0	4.0	2.0
49	V;SG;PST	4.811531607918238	Number	Tense	5.0		
50	V;V.PTCP;ACT	56.40660614908151	VerbForm	Voice	1.0	0.0	1.0
51	V;PL;IPFV	3.615787928270555	Number	Aspect	5.0	3.0	2.0
52	V;ACT;1	10.25541796423541	Voice	Person	0.0	6.0	6.0
53	V;2;FEM	13.907433635552616	Person	Gender	6.0	4.0	2.0
54	V;FEM;PRF	14.81899752414609	Gender		4.0		
55	V;IPFV;DU	15.14808314112534	Aspect	Number	3.0	5.0	2.0
56	V;ACT;IPFV	3.5501317371628502	Voice	Aspect	0.0	3.0	3.0
57	V;IMP;PL	4.318774641921051	Mood	Number	2.0	5.0	3.0
58	V;SG;3	8.505154009508885	Number	Person	5.0	6.0	1.0
59	V;SBJV;1	1.9872622368757025	Mood	Person	2.0	6.0	4.0
60	V;ACT;FEM	2.9101047613973714	Voice	Gender	0.0	4.0	4.0
61	V;3;ACT	7.006650765982277	Person	Voice	6.0	0.0	6.0
62	V;IND;ACT	19.303553686525955	Mood	Voice	2.0	0.0	2.0
63	V;PASS;SBJV	0.9612756041154163	Voice	Mood	0.0	2.0	2.0
64	V;ACT;SG	6.515914708598582	Voice	Number	0.0	5.0	5.0
65	V;PASS;PL	2.7412076631845905	Voice	Number	0.0	5.0	5.0
66	V;PL;FEM	20.826072979109245	Number	Gender	5.0	4.0	1.0
67	V;IMP;FEM	3.189948462518485	Mood	Gender	2.0	4.0	2.0
68	V;ACT;MASC	2.996114985835227	Voice	Gender	0.0	4.0	4.0
69	V;IMP;MASC	2.303743938636931	Mood	Gender	2.0	4.0	2.0
70	V;IMP;SG	1.738528086982262	Mood	Number	2.0	5.0	3.0
71	V;ACT;DU	2.199576480373409	Voice	Number	0.0	5.0	5.0
72	V;SG;MASC	4.236241709976915	Number	Gender	5.0	4.0	1.0
73	V;SBJV;MASC	0.670250420645209	Mood	Gender	2.0	4.0	2.0
74	V;PASS;MASC	2.321550995346708	Voice	Gender	0.0	4.0	4.0
75	V;IPFV;1	15.063113102060267	Aspect	Person	3.0	6.0	3.0
76	V;SG;1	31.21411311372068	Number	Person	5.0	6.0	1.0
77	V;IPFV;PL	3.616408005086383	Aspect	Number	3.0	5.0	2.0
78	V;PL;3	14.99818046224448	Number	Person	5.0	6.0	1.0
79	V;PST;PL	18.84419431470813	Tense	Number		5.0	
80	V;PST;3	12.951741661635165	Tense	Person		6.0	
81	V;FEM;IMP	1.9747860044423444	Gender	Mood	4.0	2.0	2.0
82	V;SBJV;PASS	1.4883899050958675	Mood	Voice	2.0	0.0	2.0
83	V;SG;2	8.924408814595278	Number	Person	5.0	6.0	1.0
84	V;FEM;DU	8.90345365805053	Gender	Number	4.0	5.0	1.0
85	V;PASS;IND	17.79564366038876	Voice	Mood	0.0	2.0	2.0
86	V;IND;1	15.832974402898053	Mood	Person	2.0	6.0	4.0
87	V;PASS;V.PTCP	16.76348029388404	Voice	VerbForm	0.0	1.0	1.0
88	V;PL;MASC	28.783235704028	Number	Gender	5.0	4.0	1.0
89	V;2;IND	16.37004930249774	Person	Mood	6.0	2.0	4.0
90	V;1;ACT	8.976502365546395	Person	Voice	6.0	0.0	6.0
91	V;PASS;IPFV	2.359829977955258	Voice	Aspect	0.0	3.0	3.0
92	V;SG;PASS	3.323447927750188	Number	Voice	5.0	0.0	5.0
93	V;SG;IMP	2.11668845098599	Number	Mood	5.0	2.0	3.0
94	V;FEM;3	9.99709378806488	Gender	Person	4.0	6.0	2.0
95	V;SBJV;FEM	1.505122105319952	Mood	Gender	2.0	4.0	2.0
96	V;PRF;ACT	32.98623930730149		Voice		0.0	
97	V;2;PRF	32.110847996033726	Person		6.0		
98	V;PL;PRF	17.712657063875458	Number		5.0		
99	V;SBJV;DU	0.2846981820074884	Mood	Number	2.0	5.0	3.0
100	V;PST;ACT	25.127309868743083	Tense	Voice		0.0	
101	V;SG;PRF	4.020957512708205	Number		5.0		
102	V;PRF;1	15.92267479568002		Person		6.0	
103	V;PASS;3	2.932691903447246	Voice	Person	0.0	6.0	6.0
104	V;DU;MASC	3.710767927848771	Number	Gender	5.0	4.0	1.0
105	V;SBJV;PL	0.8739250878501968	Mood	Number	2.0	5.0	3.0
106	V;2;PL	15.140019140214362	Person	Number	6.0	5.0	1.0
107	V;PRF;MASC	5.7939964721764605		Gender		4.0	
108	V;SG;IND	4.454580181146062	Number	Mood	5.0	2.0	3.0
109	V;DU;2	11.187911488985204	Number	Person	5.0	6.0	1.0
110	V;PST;1	19.37194303561812	Tense	Person		6.0	
111	V;FEM;IPFV	1.4750256918116529	Gender	Aspect	4.0	3.0	1.0
112	V;SBJV;2	0.5035039989934017	Mood	Person	2.0	6.0	4.0
113	V;2;PST	26.083570048122237	Person	Tense	6.0		
114	V;DU;IND	10.367780808630547	Number	Mood	5.0	2.0	3.0
115	V;FEM;IND	6.441057181980769	Gender	Mood	4.0	2.0	2.0
116	V;PST;MASC	7.271472807597544	Tense	Gender		4.0	
117	V;SBJV;ACT	2.5745870388956607	Mood	Voice	2.0	0.0	2.0
118	V;DU;IPFV	7.608573309794461	Number	Aspect	5.0	3.0	2.0
119	V;SG;FEM	10.534889940885218	Number	Gender	5.0	4.0	1.0
120	V;PASS;2	2.576714752996106	Voice	Person	0.0	6.0	6.0
121	V;PASS;1	4.843393763585441	Voice	Person	0.0	6.0	6.0
122	V;FEM;PASS	2.520928023307691	Gender	Voice	4.0	0.0	4.0
123	V;SG;ACT	6.432996503645616	Number	Voice	5.0	0.0	5.0
124	V;1;IND	15.85150236144594	Person	Mood	6.0	2.0	4.0
125	V;V.PTCP;PASS	14.84848618763704	VerbForm	Voice	1.0	0.0	1.0
126	V;1;PRF	19.835478568957164	Person		6.0		
127	V;SBJV;3	1.3846119383765172	Mood	Person	2.0	6.0	4.0
128	V;IND;MASC	6.514614765614657	Mood	Gender	2.0	4.0	2.0
129	V;IND;PASS	16.60512697117842	Mood	Voice	2.0	0.0	2.0
130	V;3;PL	16.307126244195686	Person	Number	6.0	5.0	1.0
131	V;PRF;SG	3.460587594475933		Number		5.0	
132	V;FEM;SG	8.401882916995778	Gender	Number	4.0	5.0	1.0
133	V;FEM;SBJV	0.5725478434755905	Gender	Mood	4.0	2.0	2.0
134	V;PL;IND	10.201639055474264	Number	Mood	5.0	2.0	3.0
135	V;IPFV;2	1.6910332671678634	Aspect	Person	3.0	6.0	3.0
136	V;2;DU	8.195898802034735	Person	Number	6.0	5.0	1.0
137	V;2;ACT	4.274336172685157	Person	Voice	6.0	0.0	6.0
138	V;3;PST	12.690506562114685	Person	Tense	6.0		
139	V;FEM;ACT	2.83334998549249	Gender	Voice	4.0	0.0	4.0
140	V;IND;DU	10.650458260003104	Mood	Number	2.0	5.0	3.0
141	V;IPFV;ACT	7.360409927687376	Aspect	Voice	3.0	0.0	3.0
142	V;PASS;FEM	1.5375929680973883	Voice	Gender	0.0	4.0	4.0
143	V;ACT;SBJV	0.9786970256578787	Voice	Mood	0.0	2.0	2.0
144	V;DU;SBJV	0.2410451990997588	Number	Mood	5.0	2.0	3.0
145	V;PST;FEM	12.277903875350452	Tense	Gender		4.0	
146	V;PST;2	33.13810528536349	Tense	Person		6.0	
147	V;3;SBJV	1.4345425774263711	Person	Mood	6.0	2.0	4.0
148	V;ACT;PRF	34.78714969960111	Voice		0.0		
