	feats	meansurp	c1	c2	p1	p2	rank
0	V;IND;IPFV	36.290086343834325	Mood	Aspect	8.0	5.0	3.0
1	V;PRF;1	11.897234436313612		Person		1.0	
2	V;SG;PFV	8.91273871192627	Number	Aspect	0.0	5.0	5.0
3	V;PL;IND	13.358404031211832	Number	Mood	0.0	8.0	8.0
4	V;SG;IMP	8.973087417193739	Number	Mood	0.0	8.0	8.0
5	V;FUT;1	9.177558726738576	Tense	Person	6.0	1.0	5.0
6	V;IPFV;3	12.13681021993618	Aspect	Person	5.0	1.0	4.0
7	V;IND;3	17.929329098768726	Mood	Person	8.0	1.0	7.0
8	V;SBJV;PASS	14.987702364656958	Mood	Voice	8.0	3.0	5.0
9	V;SG;3	25.98876984930123	Number	Person	0.0	1.0	1.0
10	V;FUT;3	18.7915536450317	Tense	Person	6.0	1.0	5.0
11	V;SBJV;IPFV	31.380862298105267	Mood	Aspect	8.0	5.0	3.0
12	V;PL;PST	14.080069924031203	Number	Tense	0.0	6.0	6.0
13	V;2;PST	19.7677029053115	Person	Tense	1.0	6.0	5.0
14	V;IND;SG	14.96988592846813	Mood	Number	8.0	0.0	8.0
15	V;IND;FUT	24.366972736280516	Mood	Tense	8.0	6.0	2.0
16	V;PFV;3	11.622660414304692	Aspect	Person	5.0	1.0	4.0
17	V;IPFV;SG	7.170563556436934	Aspect	Number	5.0	0.0	5.0
18	V;FUT;PASS	10.597554744725205	Tense	Voice	6.0	3.0	3.0
19	V;IND;PFV	28.262260586419305	Mood	Aspect	8.0	5.0	3.0
20	V;PST;3	17.103604331130274	Tense	Person	6.0	1.0	5.0
21	V;IMP;FUT	42.14726889915968	Mood	Tense	8.0	6.0	2.0
22	V;IPFV;PASS	12.561937517392632	Aspect	Voice	5.0	3.0	2.0
23	V;SG;FUT	8.625351429208067	Number	Tense	0.0	6.0	6.0
24	V;PRF;SG	14.932976492844308		Number		0.0	
25	V;IND;PRF	38.21261735706244	Mood		8.0		
26	V;PRS;3	11.803817840993323	Tense	Person	6.0	1.0	5.0
27	V;SBJV;3	11.14896403429522	Mood	Person	8.0	1.0	7.0
28	V;SG;PASS	13.882736965863025	Number	Voice	0.0	3.0	3.0
29	V;IND;PASS	9.926850755843017	Mood	Voice	8.0	3.0	5.0
30	V;2;FUT	13.419143267077892	Person	Tense	1.0	6.0	5.0
31	V;2;SG	34.014061236872	Person	Number	1.0	0.0	1.0
32	V;SBJV;PL	7.689203887182072	Mood	Number	8.0	0.0	8.0
33	V;1;PFV	10.708838657695743	Person	Aspect	1.0	5.0	4.0
34	V;PST;1	9.108229906439188	Tense	Person	6.0	1.0	5.0
35	V;PRS;1	9.301348321858873	Tense	Person	6.0	1.0	5.0
36	V;PFV;SG	13.548135237755549	Aspect	Number	5.0	0.0	5.0
37	V;PST;SG	9.658438046893124	Tense	Number	6.0	0.0	6.0
38	V;PL;FUT	13.244040537160467	Number	Tense	0.0	6.0	6.0
39	V;PST;PL	14.162078843357708	Tense	Number	6.0	0.0	6.0
40	V;PL;IPFV	6.784405436280592	Number	Aspect	0.0	5.0	5.0
41	V;3;PFV	14.457859398149628	Person	Aspect	1.0	5.0	4.0
42	V;3;SBJV	8.489254844427306	Person	Mood	1.0	8.0	7.0
