	feats	meansurp	c1	c2	p1	p2	rank
0	V;3;PRF	0.0781658233621522	Person		6.0		
1	V;PL;POS	1.2827090744005094	Number	Polarity	3.0		
2	V;SG;1	6.6195197535244015	Number	Person	3.0	6.0	3.0
3	V;NFIN;2	0.8135051153219465	VerbForm	Person	2.0	6.0	4.0
4	V;PL;PFV	19.45926515586612	Number	Aspect	3.0		
5	V;PST;1	9.822329370658151	Tense	Person	1.0	6.0	5.0
6	V;FUT;1	6.439493824834098	Tense	Person	1.0	6.0	5.0
7	V;IND;PST	22.466181204669383	Mood	Tense	0.0	1.0	1.0
8	V;3;POS	8.339015900399588	Person	Polarity	6.0		
9	V;COND;3	4.421844819898887	Mood	Person	0.0	6.0	6.0
10	V;SG;IPFV	3.680343500485301	Number	Aspect	3.0		
11	V;3;NEG	1.2681560985873068	Person	Polarity	6.0		
12	V;PST;SG	11.952833960222517	Tense	Number	1.0	3.0	2.0
13	V;2;IMP	4.337192349462784	Person	Mood	6.0	0.0	6.0
14	V;FUT;SG	12.550745755291771	Tense	Number	1.0	3.0	2.0
15	V;NEG;3	0.3821537394164334	Polarity	Person		6.0	
16	V;SG;SBJV	4.793951847173752	Number	Mood	3.0	0.0	3.0
17	V;NFIN;3	0.3466005307006872	VerbForm	Person	2.0	6.0	4.0
18	V;PL;NFIN	0.5776248444245832	Number	VerbForm	3.0	2.0	1.0
19	V;2;NEG	7.053186627475933	Person	Polarity	6.0		
20	V;PFV;PL	13.376045491402056	Aspect	Number		3.0	
21	V;PFV;3	22.889709020080897	Aspect	Person		6.0	
22	V;2;COND	11.779614647753498	Person	Mood	6.0	0.0	6.0
23	V;2;POS	8.11569451379012	Person	Polarity	6.0		
24	V;SG;NFIN	0.146132311412303	Number	VerbForm	3.0	2.0	1.0
25	V;2;PRF	7.931918189730207	Person		6.0		
26	V;SG;COND	15.301561586195998	Number	Mood	3.0	0.0	3.0
27	V;1;FUT	9.696227232952529	Person	Tense	6.0	1.0	5.0
28	V;PL;3	9.741852816205755	Number	Person	3.0	6.0	3.0
29	V;SBJV;FUT	3.937135342712026	Mood	Tense	0.0	1.0	1.0
30	V;PRF;3	0.3543488324058946		Person		6.0	
31	V;POS;3	7.41780573689021	Polarity	Person		6.0	
32	V;SG;2	17.36087700032053	Number	Person	3.0	6.0	3.0
33	V;PL;NEG	2.33920976662829	Number	Polarity	3.0		
34	V;SBJV;PRS	6.829451599375769	Mood	Tense	0.0	1.0	1.0
35	V;2;PRS	16.818034797823945	Person	Tense	6.0	1.0	5.0
36	V;1;PRS	4.310580255884366	Person	Tense	6.0	1.0	5.0
