	feats	meansurp	c1	c2	p1	p2	rank
0	V;SBJV;3	2.761774619178288	Mood	Person	1.0	4.0	3.0
1	V;PRS;IND	6.957615690828784	Tense	Mood	3.0	1.0	2.0
2	V;IND;SG	10.747031924661142	Mood	Number	1.0	5.0	4.0
3	V;PRS;PL	11.350067391033072	Tense	Number	3.0	5.0	2.0
4	V;PFV;PL	16.56647000898507	Aspect	Number		5.0	
5	V;PST;3	5.253211848261095	Tense	Person	3.0	4.0	1.0
6	V;1;PFV	27.817706651177883	Person	Aspect	4.0		
7	V;IMP;3	5.741107342189417	Mood	Person	1.0	4.0	3.0
8	V;PST;1	8.450361609665299	Tense	Person	3.0	4.0	1.0
9	V;SG;IMP	2.71560891471737	Number	Mood	5.0	1.0	4.0
10	V;SG;3	2.5001796007838486	Number	Person	5.0	4.0	1.0
11	V;IPFV;2	16.084573110364257	Aspect	Person		4.0	
12	V;LGSPEC1;2	3.022039645084992	VerbForm	Person	0.0	4.0	4.0
13	V;1;PL	46.0814641367645	Person	Number	4.0	5.0	1.0
14	V;SG;1	5.852583156793773	Number	Person	5.0	4.0	1.0
15	V;COND;PL	14.13034687452548	Mood	Number	1.0	5.0	4.0
16	V;IND;1	9.700064425014489	Mood	Person	1.0	4.0	3.0
17	V;POS;PL	5.783227542284278	Polarity	Number		5.0	
18	V;PRS;2	28.92938495842847	Tense	Person	3.0	4.0	1.0
19	V;2;PL	50.81561599101096	Person	Number	4.0	5.0	1.0
20	V;PL;SBJV	8.97281966083509	Number	Mood	5.0	1.0	4.0
21	V;COND;3	0.1242114172325265	Mood	Person	1.0	4.0	3.0
22	V;LGSPEC1;3	0.0983977490358594	VerbForm	Person	0.0	4.0	4.0
23	V;PL;LGSPEC1	17.93209910495576	Number	VerbForm	5.0	0.0	5.0
24	V;POS;2	16.927870141312628	Polarity	Person		4.0	
25	V;IND;3	11.050054359044832	Mood	Person	1.0	4.0	3.0
26	V;3;PST	5.632526237744202	Person	Tense	4.0	3.0	1.0
27	V;PST;SBJV	23.182581330609025	Tense	Mood	3.0	1.0	2.0
28	V;PL;IMP	15.452353749397451	Number	Mood	5.0	1.0	4.0
