FeatureCombination	NormalizedSD
PersonCaseVoice	0.3211074880542197
PersonCaseTense	0.23359377694274217
PersonCaseNumber	0.235804191642069
PersonCaseGender	0.2498095423239962
PersonCaseVerbForm	0.23673603875761295
PersonCaseMood	0.1838582039711949
PersonVoiceTense	0.2757733011811273
PersonVoiceNumber	0.3024158041165579
PersonVoiceAspect	0.3071706950017249
PersonVoiceGender	0.31809363284011344
PersonVoiceVerbForm	0.3177891112003675
PersonVoiceMood	0.2688790960844166
PersonTenseNumber	0.22753118269554937
PersonTenseAspect	0.1784948333665547
PersonTenseGender	0.19176265885069457
PersonTenseVerbForm	0.244600233385711
PersonTensePolarity	0.27640748758420564
PersonTenseMood	0.1943461262362329
PersonNumberAspect	0.26535223411393016
PersonNumberGender	0.25486238139689105
PersonNumberVerbForm	0.2502668993318031
PersonNumberPolarity	0.32416873415650627
PersonNumberMood	0.21489832709715304
PersonAspectGender	0.21705094304431766
PersonAspectVerbForm	0.303394435316021
PersonAspectPolarity	0.286752880955913
PersonAspectMood	0.20844970242525473
PersonGenderVerbForm	0.2636962506776649
PersonGenderMood	0.21084127404277567
PersonVerbFormPolarity	0.3409649975794844
PersonVerbFormMood	0.25956624339407036
PersonPolarityMood	0.2995207909737535
CaseVoiceTense	0.33890967190015825
CaseVoiceNumber	0.357384518700959
CaseVoiceGender	0.3481108795854487
CaseVoiceVerbForm	0.3989173606827926
CaseVoiceMood	0.30797928676203934
CaseTenseNumber	0.2962674615207225
CaseTenseGender	0.230828738419792
CaseTenseVerbForm	0.26762960263799335
CaseTenseMood	0.22096887149412558
CaseNumberGender	0.3036241149320827
CaseNumberVerbForm	0.2765083806146639
CaseNumberMood	0.21491337268445415
CaseGenderVerbForm	0.27982175819327615
CaseGenderMood	0.22337676640427467
CaseVerbFormMood	0.235272795478997
VoiceTenseNumber	0.34906831829727897
VoiceTenseAspect	0.25631690613181596
VoiceTenseGender	0.31656411707235266
VoiceTenseVerbForm	0.34959143198882686
VoiceTenseMood	0.2791661436042564
VoiceNumberAspect	0.367411378437731
VoiceNumberGender	0.3895416152932574
VoiceNumberVerbForm	0.3693830939304877
VoiceNumberMood	0.31840804401294365
VoiceAspectVerbForm	0.3716960424478124
VoiceAspectMood	0.28158238459702917
VoiceGenderVerbForm	0.3867183702051664
VoiceGenderMood	0.32378940390127087
VoiceVerbFormMood	0.3164200843975223
TenseNumberAspect	0.2871953954524424
TenseNumberGender	0.3015588484940757
TenseNumberVerbForm	0.3038710817789237
TenseNumberPolarity	0.3288559991969727
TenseNumberMood	0.26327898642973474
TenseAspectVerbForm	0.3112704001443578
TenseAspectPolarity	0.2026725715020573
TenseAspectMood	0.18919086039287675
TenseGenderVerbForm	0.23977035307755418
TenseGenderMood	0.2151623067336286
TenseVerbFormPolarity	0.3436415966204805
TenseVerbFormMood	0.2796341071923451
TensePolarityMood	0.26922070365838546
NumberAspectGender	0.3359921462499941
NumberAspectVerbForm	0.35794524417920115
NumberAspectPolarity	0.33699542863736237
NumberAspectMood	0.2911967328310186
NumberGenderVerbForm	0.34047207507156546
NumberGenderMood	0.2689707199368771
NumberVerbFormPolarity	0.3406632001305268
NumberVerbFormMood	0.29045263530079285
NumberPolarityMood	0.3408909259729584
AspectGenderVerbForm	0.31951075329230305
AspectGenderMood	0.2780630067140439
AspectVerbFormPolarity	0.37413865889150133
AspectVerbFormMood	0.30343407999718297
AspectPolarityMood	0.27033120144921363
GenderVerbFormMood	0.27999282753474247
VerbFormPolarityMood	0.3168305079676098
